1,99,65,66,230,76
2,64,73,70,207,69
3,93,91,62,246,82
4,59,72,61,192,64
5,80,61,100,241,80
6,54,70,79,203,67
7,51,92,94,237,79
8,66,78,69,213,71
9,57,76,97,230,76
10,96,99,96,291,97
11,61,87,80,228,76
12,78,57,52,187,62
13,96,100,54,250,83
14,74,69,72,215,71
15,65,72,86,223,74
16,95,87,92,274,91
17,83,98,82,263,87
18,66,80,68,214,71
19,83,63,63,209,69
20,68,74,61,203,67
21,53,86,71,210,70
22,91,73,51,215,71
23,72,61,77,210,70
24,69,66,92,227,75
25,74,51,74,199,66
26,85,58,77,220,73
27,96,76,64,236,78
28,67,64,79,210,70
29,77,60,98,235,78
30,70,75,96,241,80
